,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
ARG_1990_1993,13.3119380317,25.4075103252,114.444242681,17.9812783916,52.3154549636,9.71253898926,4.14021797884,32.7435587345,0.299271296544,1.20377656917,10.9302817634,4.63802879296,2.10615354183
AUS_1990_1993,22.286952448,4.05127278991,82.9980853259,8.43489677147,26.9530790073,8.26942267073,14.6982189417,47.7236825202,0.0,4.0578188366,17.7507872675,13.9876970251,18.325628245
BGD_1990_1993,0.689091218105,0.0278183675905,18.7086906348,0.647858668041,0.923794850945,0.00906331484084,6.40159200295e-07,8.20716932575e-07,8.20716932575e-07,0.133119588332,3.16354824596,144.433218972,0.674657270993
BRA_1990_1993,13.6690696543,23.3423854219,47.8895442649,1.68541758162,19.1103465836,1.94354957098,5.64098301099,44.8841510078,9.84084152258e-06,0.344704764387,18.5309437465,51.0376957776,0.668470041179
CAN_1990_1993,25.9884466062,56.3470888403,78.9334247627,17.4624084913,23.9148854651,9.5426682974,21.167670087,42.376266034,10.5322676079,2.9945185069,32.719446624,6.52216420701,0.747039719362
CHL_1990_1993,11.2087806375,4.45897023175,128.979168265,3.00084443853,12.9073378328,2.80831858676,7.48341567655,6.68845542194e-06,6.68845542194e-06,0.724169215028,7.56095402806,9.74307040447,0.914275308764
CHN_1990_1993,3.36960657876,6.8333737669,79.6043667174,6.16948675094,0.926159132501,0.141483293114,16.7464509987,4.55904637832,4.26108435041,0.0604085993181,5.16679927363,87.9474960485,0.905741151765
COL_1990_1993,9.70946064023,25.5785292901,22.4699620572,1.69701785415,12.9358299174,1.45295512635,2.97263265782,2.55529736229e-06,0.201121150896,0.420261278639,9.10178607833,25.2472379762,0.312319029666
DZA_1990_1993,6.26635057067,11.9203342158,184.241897773,20.4540887482,2.97473344275,0.140354515124,0.0871826792622,3.35318000888e-06,3.35318000888e-06,1.57490152051,10.4830140795,1.37390019981,5.26897496049
EGY_1990_1993,4.61915792545,44.8458201267,173.417402048,3.67257878417,5.594146855,5.12569498151,0.0333363168219,1.54515679254e-06,0.0664198197694,2.22248182737,8.04059284246,30.9380894773,1.18237553463
ETH_1990_1993,0.592393798265,22.6261520171,25.0757602107,52.2271426311,3.01058716921,0.0645499834351,0.0145854533664,1.68293694559e-06,0.20157844025,0.19634264147,1.58073562714,0.1926027852,1.00377838039
EUN_1990_1993,14.5602764256,9.86335338982,111.722917716,9.38738155314,12.6773643895,16.63683655,32.854577324,34.8641742761,0.0,3.66522796581,21.2467880026,4.4720623735,2.88071807499
GHA_1990_1993,1.00996158613,43.19573064,9.90320752974,18.7689634431,1.80750724101,0.00636333342221,0.615300545694,5.90259126183e-06,5.90259126183e-06,0.0516177262884,6.13887066947,13.6769552352,0.63485647533
