"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1995",1.79655135015946,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.0961960497248,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1997",1.8414902786913,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1998",1.8533805370706,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.03468113081826,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2000",1.77733118969632,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.09528326289475,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2002",0.917338162055977,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.10724941535274,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.63482349427842,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.02306517719181,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2006",0.917274114248879,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.07878836062109,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.58314855874661,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.57294143072132,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.03006961930062,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.15112933389332,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.76092148854487,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.00610481247914,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.91723191212922,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.89111232703908,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.71946121688559,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.19347756713322,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.20575396084814,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.24670268907507,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.43028746175388,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1997",2.12853889276342,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1998",2.25496034530694,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.59709270959274,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.44458672658691,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.94523596245396,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.83242064173317,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.25645895538444,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.64093770300418,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.73805270207003,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.60957673157254,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.33172781185999,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.85749088909333,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.7897292037308,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.80850037966263,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.9567962583694,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.86457971377721,
